1 FABRICIO_OZORIO 11 5 1991 fabricio.ozorio@gmail.com 61999764194 6132243560
2 PEDRO_HELIO 6 2 1954 pedro.helio@gmail.com 61999764194 6132243560
3 Vinicius_Galvao 5 5 1999 vini@gmail.com 61999991111 6132222222
4 Gustavo_Braga 10 10 2000 gus_at_gmail.com 944443333 88880000
7 Bruno_Mezenga 3 2 1998 bruno@bol.com.br 11966661111 1117111711
8 ROMULO_AUGUSTO 1 2 2003 romulo@live.com 61999991111 6199999999
9 PEDRO_JAPA 18 12 1954 pedro@microsoft.com 1111111 1111111
10 ASDRUBAL_PENA 28 3 2000 adrupena@brturbo.com.br 120000 25000006
11 PEDRO_ALMODOVAR 1 3 1945 almodovar@sony.com 111111 111111

